Ops,Reseller,Trusted peer,Domain,Subscriber,Destination,Region,Description,Incr,Min Dur,Max Dur,Max Price
2,0,,,,1,,USA,6,6,0,
2,0,,,,1204,,CANADA MANITOBA,0,0,0,
2,0,,,,1204131,,CANADA,0,0,0,
2,0,,,,1226,,CANADA,0,0,0,
2,0,,,,1226131,,CANADA,0,0,0,
2,0,,,,1242,,BAHAMAS,0,0,0,
2,0,,,,1246,,BARBADOS,0,0,0,
2,0,,,,124623,,BARBADOS CELL CW,0,0,0,
2,0,,,,124624,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246250,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246251,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246252,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246253,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246254,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246255,,BARBADOS CELL,0,0,0,
2,0,,,,1246256,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,1246257,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,1246258,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,1246259,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,124626,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,1246446,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246447,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246448,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246449,,BARBADOS CELL CW,0,0,0,
2,0,,,,124645,,BARBADOS CELL CW,0,0,0,
2,0,,,,124652,,BARBADOS CELL CW,0,0,0,
2,0,,,,1246530,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,1246531,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,1246532,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,1246533,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,1246534,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,124682,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,124683,,BARBADOS CELL DIGICEL,0,0,0,
2,0,,,,1250,,CANADA BRITISH COLOMBIA,0,0,0,
2,0,,,,1250131,,CANADA,0,0,0,
2,0,,,,1250232,,CANADA 250,0,0,0,
2,0,,,,1250233,,CANADA 250,0,0,0,
2,0,,,,1250234,,CANADA 250,0,0,0,
2,0,,,,1250235,,CANADA 250,0,0,0,
2,0,,,,1250237,,CANADA 250,0,0,0,
2,0,,,,1250239,,CANADA 250,0,0,0,
2,0,,,,1250471,,CANADA 250,0,0,0,
2,0,,,,1250622,,CANADA 250,0,0,0,
2,0,,,,1250624,,CANADA 250,0,0,0,
2,0,,,,1250627,,CANADA 250,0,0,0,
2,0,,,,1250771,,CANADA 250,0,0,0,
2,0,,,,1250772,,CANADA 250,0,0,0,
2,0,,,,1250773,,CANADA 250,0,0,0,
2,0,,,,1250774,,CANADA 250,0,0,0,
2,0,,,,1250775,,CANADA 250,0,0,0,
2,0,,,,1250776,,CANADA 250,0,0,0,
2,0,,,,1250778,,CANADA 250,0,0,0,
2,0,,,,1250779,,CANADA 250,0,0,0,
2,0,,,,1264,,ANGUILLA,0,0,0,
2,0,,,,1264235,,ANGUILLA CELL,0,0,0,
2,0,,,,1264469,,ANGUILLA CELL,0,0,0,
2,0,,,,1264476,,ANGUILLA CELL,0,0,0,
2,0,,,,1264536,,ANGUILLA CELL,0,0,0,
2,0,,,,1264537,,ANGUILLA CELL,0,0,0,
2,0,,,,1264538,,ANGUILLA CELL,0,0,0,
2,0,,,,1264539,,ANGUILLA CELL,0,0,0,
2,0,,,,1264543,,ANGUILLA CELL,0,0,0,
2,0,,,,1264581,,ANGUILLA DIGICEL CELL,0,0,0,
2,0,,,,1264582,,ANGUILLA DIGICEL CELL,0,0,0,
2,0,,,,1264583,,ANGUILLA DIGICEL CELL,0,0,0,
2,0,,,,1264584,,ANGUILLA DIGICEL CELL,0,0,0,
2,0,,,,1264729,,ANGUILLA CELL,0,0,0,
2,0,,,,1264772,,ANGUILLA CELL,0,0,0,
2,0,,,,1268,,ANTIGUA AND BARBUDA,0,0,0,
2,0,,,,1268464,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,126872,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268732,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268734,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268736,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268764,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,126877,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268780,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268781,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268782,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268783,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268784,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268785,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268786,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268788,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1268789,,ANTIGUA AND BARBUDA CELL,0,0,0,
2,0,,,,1284,,BRITISH VIRGIN IS,0,0,0,
2,0,,,,1284300,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284340,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284341,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284342,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284343,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284344,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284345,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284346,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284347,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284441,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284442,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284443,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284444,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284445,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284446,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,12844689,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,12844960,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,12844966,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,12844967,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,12844968,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,12844969,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284499,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284540,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284541,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284542,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284543,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284544,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284545,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284546,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1284547,,BRITISH VIRGIN IS CELL,0,0,0,
2,0,,,,1289,,CANADA,0,0,0,
2,0,,,,1289131,,CANADA,0,0,0,
2,0,,,,1306,,CANADA,0,0,0,
2,0,,,,1306131,,CANADA,0,0,0,
2,0,,,,1340,,U.S. VIRGIN IS,0,0,0,
2,0,,,,1343,,CANADA ONTARIO EASTERN,0,0,0,
2,0,,,,1345,,CAYMAN IS,0,0,0,
2,0,,,,1345229,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345249,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345321,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345322,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345323,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345324,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345325,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345326,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345327,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345328,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345329,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345516,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345517,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345525,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345526,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345527,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345529,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345545,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345546,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345547,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345548,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345549,,CAYMAN IS DIGICEL CELL,0,0,0,
2,0,,,,1345616,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345617,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345625,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345629,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345630,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345645,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345646,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345647,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345649,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345726,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345916,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345917,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345919,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345922,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345923,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345924,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345925,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345926,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345927,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345928,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345929,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345936,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345937,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345938,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345939,,CAYMAN IS CELL,0,0,0,
2,0,,,,1345990,,CAYMAN IS CELL,0,0,0,
2,0,,,,1403,,CANADA ALBERTA SOUTHERN,0,0,0,
2,0,,,,1403131,,CANADA,0,0,0,
2,0,,,,1416,,CANADA TORONTO 02,0,0,0,
2,0,,,,1416131,,CANADA,0,0,0,
2,0,,,,1418,,CANADA,0,0,0,
2,0,,,,1418131,,CANADA,0,0,0,
2,0,,,,1418206,,CANADA 418,0,0,0,
2,0,,,,1418215,,CANADA 418,0,0,0,
2,0,,,,1418220,,CANADA 418,0,0,0,
2,0,,,,1418221,,CANADA 418,0,0,0,
2,0,,,,1418222,,CANADA 418,0,0,0,
2,0,,,,1418223,,CANADA 418,0,0,0,
2,0,,,,1418224,,CANADA 418,0,0,0,
2,0,,,,1418225,,CANADA 418,0,0,0,
2,0,,,,1418226,,CANADA 418,0,0,0,
2,0,,,,1418227,,CANADA 418,0,0,0,
2,0,,,,1418228,,CANADA 418,0,0,0,
2,0,,,,1418229,,CANADA 418,0,0,0,
2,0,,,,1418230,,CANADA 418,0,0,0,
2,0,,,,1418234,,CANADA 418,0,0,0,
2,0,,,,1418241,,CANADA 418,0,0,0,
2,0,,,,1418242,,CANADA 418,0,0,0,
2,0,,,,1418243,,CANADA 418,0,0,0,
2,0,,,,1418244,,CANADA 418,0,0,0,
2,0,,,,1418245,,CANADA 418,0,0,0,
2,0,,,,1418246,,CANADA 418,0,0,0,
2,0,,,,1418247,,CANADA 418,0,0,0,
2,0,,,,1418248,,CANADA 418,0,0,0,
2,0,,,,1418249,,CANADA 418,0,0,0,
2,0,,,,1418252,,CANADA 418,0,0,0,
2,0,,,,1418253,,CANADA 418,0,0,0,
2,0,,,,1418257,,CANADA 418,0,0,0,
2,0,,,,1418259,,CANADA 418,0,0,0,
2,0,,,,1418267,,CANADA 418,0,0,0,
2,0,,,,1418268,,CANADA 418,0,0,0,
2,0,,,,1418269,,CANADA 418,0,0,0,
2,0,,,,1418277,,CANADA 418,0,0,0,
2,0,,,,1418280,,CANADA 418,0,0,0,
2,0,,,,1418282,,CANADA 418,0,0,0,
2,0,,,,1418283,,CANADA 418,0,0,0,
2,0,,,,1418284,,CANADA 418,0,0,0,
2,0,,,,1418285,,CANADA 418,0,0,0,
2,0,,,,1418286,,CANADA 418,0,0,0,
2,0,,,,1418287,,CANADA 418,0,0,0,
2,0,,,,1418288,,CANADA 418,0,0,0,
2,0,,,,1418289,,CANADA 418,0,0,0,
2,0,,,,1418293,,CANADA 418,0,0,0,
2,0,,,,1418294,,CANADA 418,0,0,0,
2,0,,,,1418295,,CANADA 418,0,0,0,
2,0,,,,1418296,,CANADA 418,0,0,0,
2,0,,,,1418297,,CANADA 418,0,0,0,
2,0,,,,1418298,,CANADA 418,0,0,0,
2,0,,,,1418299,,CANADA 418,0,0,0,
2,0,,,,1418322,,CANADA 418,0,0,0,
2,0,,,,1418323,,CANADA 418,0,0,0,
2,0,,,,1418325,,CANADA 418,0,0,0,
2,0,,,,1418328,,CANADA 418,0,0,0,
2,0,,,,1418329,,CANADA 418,0,0,0,
2,0,,,,1418336,,CANADA 418,0,0,0,
2,0,,,,1418337,,CANADA 418,0,0,0,
2,0,,,,1418339,,CANADA 418,0,0,0,
2,0,,,,1418340,,CANADA 418,0,0,0,
2,0,,,,1418354,,CANADA 418,0,0,0,
2,0,,,,1418356,,CANADA 418,0,0,0,
2,0,,,,1418357,,CANADA 418,0,0,0,
2,0,,,,1418359,,CANADA 418,0,0,0,
2,0,,,,1418360,,CANADA 418,0,0,0,
2,0,,,,1418361,,CANADA 418,0,0,0,
2,0,,,,1418362,,CANADA 418,0,0,0,
2,0,,,,1418364,,CANADA 418,0,0,0,
2,0,,,,1418365,,CANADA 418,0,0,0,
2,0,,,,1418366,,CANADA 418,0,0,0,
2,0,,,,1418368,,CANADA 418,0,0,0,
2,0,,,,1418379,,CANADA 418,0,0,0,
2,0,,,,1418381,,CANADA 418,0,0,0,
2,0,,,,1418382,,CANADA 418,0,0,0,
2,0,,,,1418383,,CANADA 418,0,0,0,
2,0,,,,1418385,,CANADA 418,0,0,0,
2,0,,,,1418386,,CANADA 418,0,0,0,
2,0,,,,1418387,,CANADA 418,0,0,0,
2,0,,,,1418388,,CANADA 418,0,0,0,
2,0,,,,1418389,,CANADA 418,0,0,0,
2,0,,,,1418390,,CANADA 418,0,0,0,
2,0,,,,1418391,,CANADA 418,0,0,0,
2,0,,,,1418392,,CANADA 418,0,0,0,
2,0,,,,1418393,,CANADA 418,0,0,0,
2,0,,,,1418395,,CANADA 418,0,0,0,
2,0,,,,1418396,,CANADA 418,0,0,0,
2,0,,,,1418397,,CANADA 418,0,0,0,
2,0,,,,1418403,,CANADA 418,0,0,0,
2,0,,,,1418422,,CANADA 418,0,0,0,
2,0,,,,1418444,,CANADA 418,0,0,0,
2,0,,,,1418449,,CANADA 418,0,0,0,
2,0,,,,1418459,,CANADA 418,0,0,0,
2,0,,,,1418461,,CANADA 418,0,0,0,
2,0,,,,1418464,,CANADA 418,0,0,0,
2,0,,,,1418465,,CANADA 418,0,0,0,
2,0,,,,1418466,,CANADA 418,0,0,0,
2,0,,,,1418469,,CANADA 418,0,0,0,
2,0,,,,1418475,,CANADA 418,0,0,0,
2,0,,,,1418479,,CANADA 418,0,0,0,
2,0,,,,1418483,,CANADA 418,0,0,0,
2,0,,,,1418484,,CANADA 418,0,0,0,
2,0,,,,1418485,,CANADA 418,0,0,0,
2,0,,,,1418486,,CANADA 418,0,0,0,
2,0,,,,1418530,,CANADA 418,0,0,0,
2,0,,,,1418532,,CANADA 418,0,0,0,
2,0,,,,1418533,,CANADA 418,0,0,0,
2,0,,,,1418534,,CANADA 418,0,0,0,
2,0,,,,1418535,,CANADA 418,0,0,0,
2,0,,,,1418536,,CANADA 418,0,0,0,
2,0,,,,1418538,,CANADA 418,0,0,0,
2,0,,,,1418539,,CANADA 418,0,0,0,
2,0,,,,1418556,,CANADA 418,0,0,0,
2,0,,,,1418560,,CANADA 418,0,0,0,
2,0,,,,1418562,,CANADA 418,0,0,0,
2,0,,,,1418565,,CANADA 418,0,0,0,
